web-scraper-order,web-scraper-start-url,products,products-href,product,desc,image-src,price,Detai1lDeal,Detail2Deal,Deal,save
"1660456425-430","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Colgate Total Advanced Clean Toothpaste 200g on special","https://shop.coles.com.au/a/national/product/colgate-total-advanced-clean-toothpaste","Colgate","Total Advanced Clean Toothpaste","/wcsstore/Coles-CAS/images/3/4/0/3400887.jpg","$
									5
									.00","$2.50 per 100G","200g","Add
			
			Add
			1
			Colgate Total Advanced Clean Toothpaste 200g on special
			for
			$5.00
			to the trolley.","save
										$5.00"
"1660456363-405","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Glow Lab Coconut & Sandalwood Body Wash 900mL on special","https://shop.coles.com.au/a/national/product/coconut-sandalwod","Glow Lab","Coconut & Sandalwood Body Wash","/wcsstore/Coles-CAS/images/4/3/0/4309736.jpg","$
									9
									.00","$1.00 per 100mL","900mL","null","save
										$9.00"
"1660456432-433","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Farmers Market Adult Dry Dog Food Beef With Farm Vegetables 2.7kg on special","https://shop.coles.com.au/a/national/product/farmers-market-adult-d-f-beef-wth-farm-veg-2821722p","Farmers Market","Adult Dry Dog Food Beef With Farm Vegetables","/wcsstore/Coles-CAS/images/2/8/2/2821722.jpg","$
									9
									.50","$0.35 per 100G","2.7kg","Add
			
			Add
			1
			Farmers Market Adult Dry Dog Food Beef With Farm Vegetables 2.7kg on special
			for
			$9.50
			to the trolley.","save
										$9.50"
"1660456403-421","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Kinder Bueno Chocolate Bar 43g on special","https://shop.coles.com.au/a/national/product/kinder-chocolate-bueno","Kinder","Bueno Chocolate Bar","/wcsstore/Coles-CAS/images/5/2/1/5216969.jpg","$
									1
									.00","$2.33 per 100G","43g","Add
			
			Add
			1
			Kinder Bueno Chocolate Bar 43g on special
			for
			$1.00
			to the trolley.","save
										$1.00"
"1660456410-424","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Simple Cleansing Facial Wipes 25 pack on special half price","https://shop.coles.com.au/a/national/product/simple-facial-cleansing-wipes","Simple","Cleansing Facial Wipes","/wcsstore/Coles-CAS/images/4/9/2/4920339.jpg","$
									4
									.00","$0.16 per 1Ea","25 pack","Add
			
			Add
			1
			Simple Cleansing Facial Wipes 25 pack on special half price
			for
			$4.00
			to the trolley.","save
										$4.00"
"1660456365-406","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","NRG Super Alkaline AA 24 pack on special half price","https://shop.coles.com.au/a/national/product/nrg-super-alkaline-a-24-pack","NRG","Super Alkaline AA","/wcsstore/Coles-CAS/images/3/8/5/3858659.jpg","$
									13
									.00","$0.54 per 1Ea","24 pack","Add
			
			Add
			1
			NRG Super Alkaline AA 24 pack on special half price
			for
			$13.00
			to the trolley.","save
										$13.00"
"1660456381-412","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Harpic Blue Power Toilet Cleaner 39g on special","https://shop.coles.com.au/a/national/product/harpic-itb-toilet-cleaner-blue-power","Harpic","Blue Power Toilet Cleaner","/wcsstore/Coles-CAS/images/3/2/2/3224955.jpg","$
									3
									.00","$7.69 per 100G","39g","null","save
										$3.00"
"1660456389-415","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Air Wick VI Poo Fruity Pin Up 55mL on special","https://shop.coles.com.au/a/national/product/air-wick-vi-poo-fruity-pin-up","Air Wick","VI Poo Fruity Pin Up","/wcsstore/Coles-CAS/images/3/0/4/3041300.jpg","$
									5
									.00","$9.09 per 100mL","55mL","Add
			
			Add
			1
			Air Wick VI Poo Fruity Pin Up 55mL on special
			for
			$5.00
			to the trolley.","save
										$5.00"
"1660456437-435","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Coca-Cola Classic Soft Drink Multipack Bottles 12 x 300mL 12 pack on special","https://shop.coles.com.au/a/national/product/coca-cola-coke-300ml-bottles-7910342p","Coca-Cola","Classic Soft Drink Multipack Bottles 12 x 300mL","/wcsstore/Coles-CAS/images/7/9/1/7910342.jpg","$
									7
									.85","$2.18 per 1L","12 pack","Add
			
			Add
			1
			Coca-Cola Classic Soft Drink Multipack Bottles 12 x 300mL 12 pack on special
			for
			$7.85
			to the trolley.","save
										$7.85"
"1660456408-423","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Palmolive Anti-Bacterial Lime Liquid Hand Wash 250mL on special","https://shop.coles.com.au/a/national/product/palmolive-hand-wash-liquid-softwash-pump-antibacterial-lime","Palmolive","Anti-Bacterial Lime Liquid Hand Wash","/wcsstore/Coles-CAS/images/6/9/1/6914723.jpg","$
									1
									.50","$0.60 per 100mL","250mL","Add
			
			Add
			1
			Palmolive Anti-Bacterial Lime Liquid Hand Wash 250mL on special
			for
			$1.50
			to the trolley.","save
										$1.50"
"1660456394-417","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Oreo Chocolate Coated Biscuit 204g on special half price","https://shop.coles.com.au/a/national/product/oreo-chocolate-coated-biscuit","Oreo","Chocolate Coated Biscuit","/wcsstore/Coles-CAS/images/2/9/9/2994061.jpg","$
									1
									.90","$0.93 per 100G","204g","Add
			
			Add
			1
			Oreo Chocolate Coated Biscuit 204g on special half price
			for
			$1.90
			to the trolley.","save
										$1.90"
"1660456361-404","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Uncle Tobys Goodness Bowl Tasty Flakes Honey And Almonds 625g on special","https://shop.coles.com.au/a/national/product/flakes-honey-almond","Uncle Tobys","Goodness Bowl Tasty Flakes Honey And Almonds","/wcsstore/Coles-CAS/images/4/3/0/4308471.jpg","$
									2
									.75","$0.44 per 100G","625g","Add
			
			Add
			1
			Uncle Tobys Goodness Bowl Tasty Flakes Honey And Almonds 625g on special
			for
			$2.75
			to the trolley.","null"
"1660456444-438","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=1","Pascall Pink and White Marshmallows 280g on special","https://shop.coles.com.au/a/national/product/pascall-marshmallows-pink-white","Pascall","Pink and White Marshmallows","/wcsstore/Coles-CAS/images/2/3/5/2351855.jpg","$
									2
									.00","$0.71 per 100G","280g","Add
			
			Add
			1
			Pascall Pink and White Marshmallows 280g on special
			for
			$2.00
			to the trolley.","save
										$2.00"
