web-scraper-order,web-scraper-start-url,products,products-href,product,desc,image-src,price,Detai1lDeal,Detail2Deal,Deal,save
"1660456799-473","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Palmolive Naturals Active Nourishment Conditioner 350mL on special half price","https://shop.coles.com.au/a/national/product/conditioner-act-nourish","Palmolive","Naturals Active Nourishment Conditioner","/wcsstore/Coles-CAS/images/3/9/7/3978570.jpg","$
									2
									.25","$0.64 per 100mL","350mL","Add
			
			Add
			1
			Palmolive Naturals Active Nourishment Conditioner 350mL on special half price
			for
			$2.25
			to the trolley.","null"
"1660456792-470","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","People Hydrate Conditioner 350mL on special half price","https://shop.coles.com.au/a/national/product/hydrate-4957838p-1","People","Hydrate Conditioner","/wcsstore/Coles-CAS/images/4/9/5/4957838.jpg","$
									8
									.00","$2.29 per 100mL","350mL","Add
			
			Add
			1
			People Hydrate Conditioner 350mL on special half price
			for
			$8.00
			to the trolley.","save
										$8.00"
"1660456804-475","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Sukin Lime & Coconut Cleansing Hand Wash 500mL on special half price","https://shop.coles.com.au/a/national/product/sukin-hand-wash-lime-coconut","Sukin","Lime & Coconut Cleansing Hand Wash","/wcsstore/Coles-CAS/images/3/5/5/3552149.jpg","$
									4
									.97","$0.99 per 100mL","500mL","null","save
										$6.03"
"1660456735-447","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Schwarzkopf Brilliance L43 Smouldering Red 1 pack on special half price","https://shop.coles.com.au/a/national/product/l43-smouldering-red","Schwarzkopf","Brilliance L43 Smouldering Red","/wcsstore/Coles-CAS/images/4/2/5/4256334.jpg","$
									9
									.00","$9.00 per 1Ea","1 pack","Add
			
			Add
			1
			Schwarzkopf Brilliance L43 Smouldering Red 1 pack on special half price
			for
			$9.00
			to the trolley.","save
										$9.00"
"1660456814-479","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Colgate Multi Benefit Advanced Whitening Toothpaste 200g on special","https://shop.coles.com.au/a/national/product/colgate-total-advanced-whitening-toothpaste","Colgate","Multi Benefit Advanced Whitening Toothpaste","/wcsstore/Coles-CAS/images/3/4/0/3400956.jpg","$
									5
									.00","$2.50 per 100G","200g","Add
			
			Add
			1
			Colgate Multi Benefit Advanced Whitening Toothpaste 200g on special
			for
			$5.00
			to the trolley.","save
										$5.00"
"1660456797-472","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Glow Lab Citrus & Bergamot Body Wash 900mL on special","https://shop.coles.com.au/a/national/product/coconut-vanilla","Glow Lab","Citrus & Bergamot Body Wash","/wcsstore/Coles-CAS/images/4/3/0/4309714.jpg","$
									9
									.00","$1.00 per 100mL","900mL","Add
			
			Add
			1
			Glow Lab Citrus & Bergamot Body Wash 900mL on special
			for
			$9.00
			to the trolley.","save
										$9.00"
"1660456732-446","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Schwarzkopf Extra Care Marrakesh Oil & Coconut Replenishing Conditioner 950mL on special half price","https://shop.coles.com.au/a/national/product/marrakesh-conditioner","Schwarzkopf","Extra Care Marrakesh Oil & Coconut Replenishing Conditioner","/wcsstore/Coles-CAS/images/4/4/5/4453834.jpg","$
									9
									.50","$1.00 per 100mL","950mL","Add
			
			Add
			1
			Schwarzkopf Extra Care Marrakesh Oil & Coconut Replenishing Conditioner 950mL on special half price
			for
			$9.50
			to the trolley.","save
										$9.50"
"1660456833-487","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Morning Fresh Original Dishwashing Liquid 900mL on special","https://shop.coles.com.au/a/national/product/morning-fresh-dishwashing-liquid-super-concentrate-original-fresh-9736075p","Morning Fresh","Original Dishwashing Liquid","/wcsstore/Coles-CAS/images/9/7/3/9736075.jpg","$
									4
									.50","$0.50 per 100mL","900mL","Add
			
			Add
			1
			Morning Fresh Original Dishwashing Liquid 900mL on special
			for
			$4.50
			to the trolley.","save
										$4.50"
"1660456807-476","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Green & Black's Organic Milk Chocolate Block 90g on special half price","https://shop.coles.com.au/a/national/product/green-blacks-block-choc-organic-milk","Green & Black's","Organic Milk Chocolate Block","/wcsstore/Coles-CAS/images/3/5/0/3506786.jpg","$
									2
									.25","$2.50 per 100G","90g","Add
			
			Add
			1
			Green & Black's Organic Milk Chocolate Block 90g on special half price
			for
			$2.25
			to the trolley.","save
										$2.25"
"1660456742-450","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Cold Power Advanced Clean Laundry Powder 2kg on special","https://shop.coles.com.au/a/national/product/cold-power-laundry-powder-advanced-clean","Cold Power","Advanced Clean Laundry Powder","/wcsstore/Coles-CAS/images/3/7/7/3774923.jpg","$
									9
									.75","$4.88 per 1Kg","2kg","Add
			
			Add
			1
			Cold Power Advanced Clean Laundry Powder 2kg on special
			for
			$9.75
			to the trolley.","save
										$9.75"
"1660456756-455","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Steggles Frozen Sweet Chilli Chicken Breast Tenders 400g on special","https://shop.coles.com.au/a/national/product/steggles-chicken-tenders-sweet-chilli","Steggles","Frozen Sweet Chilli Chicken Breast Tenders","/wcsstore/Coles-CAS/images/2/7/1/2719952.jpg","$
									4
									.75","$11.88 per 1Kg","400g","null","save
										$5.25"
"1660456835-488","https://shop.coles.com.au/a/national/specials/search/coles-weekly-specials?pageNumber=2","Vaseline Intensive Care Aloe Soothe Body Lotion 750mL on special half price","https://shop.coles.com.au/a/national/product/vaseline-lotion-aloe-fresh-hydrating-value-pack","Vaseline","Intensive Care Aloe Soothe Body Lotion","/wcsstore/Coles-CAS/images/9/8/3/9831892.jpg","$
									7
									.25","$0.97 per 100mL","750mL","Add
			
			Add
			1
			Vaseline Intensive Care Aloe Soothe Body Lotion 750mL on special half price
			for
			$7.25
			to the trolley.","save
										$7.05"
